Label,Label_XName,UniqueID
 Cube Dimensions,,7df2e85a
 Environment variable, Environment variable,8ab7d1a6
 First parameter of the object-related scripts is always the object ID, First parameter of the object-related scripts is always the object ID,5c7aaf87
&lt;&lt;,&lt;&lt;,818e5b6e
"(use {CR}, {LF} and {t})",,5568a2df
About,,4efca0d1
Accept,Accept,89713b9c
Actual filter,,7aaafbf8
Add,Add,9fd728c6
Add all columns to transformation,,77b5e75d
Add calendar dimension,Add calendar dimension,9498ef0d
Add calendar macro,Add calendar macro,0c71b3e0
Add connector,,a6ef2483
Add content,,006e1fbb
Add dependent tables,Add dependent tables,d9a07191
Add deployment,,6993e25f
Add dimension,,a2879cac
Add empty record,Add empty record,9194e4ec
Add encrypted string,Add encrypted string,67eb982a
Add export,,89229d04
Add export package,,d2394cea
Add external package,,9ef3ae01
Add externally filled table,,04c47a44
Add fact,,0382594b
Add group,,94901258
Add hierarchy,,18a36511
Add historization,,136da52c
Add historization package,,dc4aab3c
Add import,,30880057
Add import package,,c898499d
Add index,,4650bda5
Add macro,,a908eae9
Add model,,b2609f7d
Add object script,,74ea26c4
Add or refresh primary hash keys,,28ace59c
Add or refresh referenced hash keys,,65ffb82a
Add partition,,94d13ca4
Add persisting package,,b5c8f878
Add post-creation script,,0402162d
Add post-deployment script,,83bccf5b
Add post-workflow script,,ef910553
Add pre-creation script,,beb4e9c4
Add pre-deployment script,,fbd00db9
Add pre-workflow script,,dbd27480
Add predefined transformation,,071bb75e
Add reference,Add reference,e891f9e2
Add repository extension script,,8115f85d
Add role,,e53a9362
Add schema,,d849e95c
Add script package,,c03591c8
Add snapshot,,af8e8c93
Add snapshot dimension,Add snapshot dimension,a921dd1b
Add snapshot group,,74f34d03
Add source constraint,,bea118d5
Add source references,,0bdc21ae
Add star,,b80b8704
Add stars,,988ec772
Add time dimension,Add time dimension,c6c28c51
Add to diagram filter,,9033f7f5
Add to filter,Add to filter,c6b7266f
Add to model,Add to model,b9b88272
Add transformation,,ff988616
Add vault hub,,3fcfa6cc
Add vault link,,9c20e741
Add vault satellite,,eb5e9e66
Add workflow package,,f0fbfcde
Add/refresh hash keys,Add/refresh hash keys,451e5144
Additional properties for CSV files,Additional properties for CSV files,7ce8fdd4
Additional properties for blob files,,1c881641
Alias,,b19e02e9
All N:1 direct related,All N:1 direct related,199aae03
All N:1 related,All N:1 related,f6dd8fc0
All additional tasks,,0e91e89f
All connection stings stored as,,59d01efd
All defaults,All defaults,10313df3
All direct and indirect related,All direct and indirect related,22511cd0
All direct related,All direct related,4615bdf2
All fields,All fields,b2525b1e
All key fields,All key fields,f2d3cda8
All related,All related,d7d858a7
Allow data loss,,cbb3af56
Allow incompatible platform,,91eb6915
Allow reading and writing of cube content,,f48eab43
Allow reading of cell content,,310d76d5
Allow using separate databases to store layers,,ee5cf283
Allowed keywords,,f8824fbf
AnalyticsCreator,,0c9e5dc6
AnalyticsCreator Solutions GmbH,,3fd5ea0d
Anonymization,,b72a4b9b
Anonymization check statement,,311b1db9
Anonymize,,03a84964
Apply,Apply,31e392d1
Apply filter,,d75f056b
Arrow height,,700fcf2c
Arrow width,,3b3b08e4
Attributes,Attributes,4b0ed88f
AutCreated,AutCreated,c86abf7c
Authentication,Authentication,66880d2d
Auto created,,f2f08bda
Auto sync.,Auto sync.,aacde81e
Auto-sync subscription,,c503369b
Automatically created,Automatically created,6c49f79a
Azure AD,Azure AD,8c061bef
Azure key,Azure key,35d0521a
Azure source type,,5c777de0
Back,Back,76900f1b
Background Color,,b48bc969
Background arrow,,f8861012
Background dimension,,a0dd25e4
Background even column,,a1edb108
Background external transformation,,12cd90b3
Background fact,,7c5689af
Background header,,ccd58c93
Background odd column,,c5912b58
Background other object,,d318ef4f
Background package,,e6d6fcd4
Background script transformation,,56d959c3
Background source,,c51cfd76
Background table,,dd8bc182
Background text,,2a4de467
Background vault hub,,47103069
Background vault link,,dfb2a17e
Background vault satellite,,2fd04f1f
Background view,,0efb8898
Backup DB before changes,,3648d5e6
Backup and Restore,,d626ad8a
Blob type,,613f724f
Block when drift detected,,21bbeb39
Border diagram,,da16f578
Border object,,0d4ca0d0
Border package,,ed985c7f
Border table,,f05b2c66
Border thickness,,306abbcd
Calculated columns,Calculated columns,0ae8b721
"Calculated columns. I - new record alias, S - old record alias. Sample: ISNULL(I.Value, 0) - ISNULL(S.Value, 0)",,9ba3b845
Calendar dimension,Calendar dimension,b8d26c4d
Calendar dimension name,,784588d5
Calendar in fact names,Calendar in fact names,a2c44ea3
Calendar in facts name,,fb275977
Calendar period,,b6a41513
Cancel,Cancel,19766ed6
Cancel reference,Cancel reference,7c7a7c46
Cardinality,Cardinality,23c088c9
Cell height,,a4638d20
Cell width,,7db4e5c4
Change description,,3be1d2eb
Check,,9d60841e
Check and update columns,,d8649aab
Check constraints,,86779395
Check statement,,4dbed0a6
Classic,Classic,ae25d648
Close,Close,7d9eb7ac
Code page,,714c9199
Colors,Colors,88c45d9e
Column Name,Column Name,186b1f01
Column delimiter,,fb0581cf
"Column delimiter (use {CR}, {LF} and {t})",,a8d8e398
Column names first row,,0f43ede8
Column to store next surrogate key,,6b5d6eb5
Column to store previous surrogate key,,446af263
Column to store root surrogate key,,abcb5495
Column to store technical valid from date,,cdbfa57d
Column to store technical valid to date,,83763cc6
Column2,,b05d6851
"Column_Name, Character_Maximum_Length, Numeric_Scale, Numeric_Precision, Is_Nullable, PK_Ordinal_Position, SrcType, hasLength, hasPrecision, hasScale, SrcSSISType, Anonymization_check_statement, Anonymize","Column_Name, Character_Maximum_Length, Numeric_Scale, Numeric_Precision, Is_Nullable, PK_Ordinal_Position, SrcType, hasLength, hasPrecision, hasScale, SrcSSISType, Anonymization_check_statement, Anonymize",35a40ffa
Columns,Columns,53aade77
Comma-separated,,bc77090e
Command Timeout,,e6650461
Community,,bb501d78
Compability level,,87f9c4e3
Company:,,a7aeec6f
Compression Type,,e59db207
Compression type,,e82afbde
Configuration file,Configuration file,f1c216dd
Connect,,1a2303ed
Connection string,Connection string,511ada84
Connection string to SSIS__Coniguration stored as,,9413f4b1
Connector,Connector,8f0d706f
Connector name,,da5facdd
Connector type,,8a181445
Connector1,Connector1,9d1df1a1
ConnectorName,ConnectorName,b425c079
Connectors,,c3d2e79e
Constraints,Constraints,2b59190c
Content,,47bd2907
Continue,Continue,31fbef16
Create Calendar dimension,,2f2c1bd8
Create DACPAC,,365dea3e
Create LinkSat,Create LinkSat,f4c3d147
Create PowerPivot model,,e8affb8c
Create Qlik script,,1e635b4a
Create Snapshot dimension,,93d5581c
Create Tableau model,,edee2da3
Create Visio diagram,,ffca9de8
Create Word description,,6d6c6ec4
Create XMLA script,,9e9cf2f3
Create cube during deployment,,825141dd
Create in DWH,,17283daf
Create model,Create model,990b6a16
Create new source,,ebb361a8
Create partitions,,7d804622
Create perspectives,,d73de985
Create transformation,,d8854e8a
Create transformations,,571999ce
Create unknown member,Create unknown member,a87ce5f8
Cube Dimension,Cube Dimension,de458435
Cubes,,a9ac015e
Custom value,,aa2ff6fe
Customize colors,,cd27f46c
DACPAC Compability,,fb03a3cd
DB Name,DB Name,4943ecc3
DWH,DWH,cf78e5d5
DWH Wizard,DWH Wizard,c740881e
DWH database template,,a818db5a
DWH settngs,,14375618
DWH type,,8ad97fdc
Data Type,,68cd1547
Data mart,,f8367f56
Data source,Data source,548c5b4d
Data vault hash fields,Data vault hash fields,4d6f3602
Data vault hub,Data vault hub,8075972f
Data vault link,Data vault link,e5c0705e
Data vault satellite,Data vault satellite,5d56c9f7
DataVault 2.0,DataVault 2.0,40c33930
DataVault2,,0037d7c6
Database SQLCMD variable,Database SQLCMD variable,78f29d5f
Database name,Database name,e97a0773
Database to deploy and to use as a source in generated files,Database to deploy and to use as a source in generated files,546cc8e9
Date from,,61df12fa
Date to,,47805fb8
Date-to-ID function,,83910618
Decline,Decline,a2d285b3
Decrypt,,2e462944
Default,Default,21b111cb
Default 1,Default 1,3b9bbb0d
Default 2,Default 2,040066fe
Default 3,Default 3,c2a2f282
Default member,,5c73726c
Default transformations,,78e09eec
Default transformations:,,07ffbca6
Default value,,e6fdffbb
DefaultBufferMaxRows,,2c2d517d
DefaultBufferSize,,67847903
Definition,Definition,9813fafb
Delete,Delete,e2d0a549
